Date,CO2
14,276.75
30,277.88
56,277.38
105,277.51
136,278.13
169,280.05
203,280.72
228,281.49
275,280.13
303,279.83
330,278.92
365,277.05
429,276.91
462,276.72
500,276.36
537,276.0
572,277.56
596,276.9
632,278.25
668,279.39
699,279.7
730,278.53
765,278.53
800,278.55
858,279.34
898,278.91
945,279.12
969,278.46
1005,280.5
1026,280.83
1059,282.76
1106,282.75
1160,283.88
1208,283.6
1258,282.11
1276,281.13
1307,281.5
1350,280.06
1412,279.62
1430,279.54
1431,282.52
1561,281.75
1589,281.03
1611,271.83
1629,274.5
1641,276.62
1690,276.25
1723,276.94
1735,278.23
1743,276.74
1753,276.39
1764,276.32
1774,277.78
1781,276.78
1795,281.54
1800,281.15
1815,284.34
1827,281.28
1835,283.73
1839,284.07
1844,286.5
1846,283.3
1846,284.96
1849,287.73
1853,288.57
1854,287.03
1859,286.48
1864,285.41
1867,285.22
1870,287.69
1873,287.17
1874,290.52
1884,289.81
1885,289.01
1886,290.62
1889,291.52
1889,292.23
1894,293.84
1896,298.16
1899,296.0
1899,296.21
1902,295.68
1902,294.96
1904,295.12
1909,300.45
1912,298.39
1914,300.02
1914,300.69
1919,303.27
1919,303.55
1923,303.2
1924,305.2
1929,307.77
1929,305.72
1933,307.21
1935,307.82
1937,308.99
1938,309.56
1939,310.94
1940,311.9
1941,310.7
1942,310.3
1942,310.95
1942,311.63
1943,310.51
1943,311.03
1944,311.36
1944,312.14
1944,311.29
1945,309.75
1946,311.46
1947,310.8
1947,309.98
1947,311.46
1948,310.47
1949,311.15
1950,312.55
1953,312.06
1954,311.68
1955,313.49
1955,313.8
1957,314.04
1960,315.81
1961,316.68
1962,317.38
1963,318.04
1964,318.65
1965,319.16
1966,319.72
1967,321.06
1968,321.75
1969,322.53
1970,323.87
1971,325.0
1972,325.72
1973,326.74
1974,328.65
1975,329.36
1976,330.34
1977,331.4
1978,332.97
1979,334.61
1980,335.94
1981,337.85
1982,339.11
1983,340.28
1984,341.98
1985,343.48
1986,344.77
1987,346.16
1988,347.85
1989,350.04
1990,351.56
1991,352.84
1992,354.24
1993,355.18
1994,355.97
1995,357.58
1996,359.52
1997,361.26
1998,362.43
1999,365.14
2000,366.96
2001,368.25
2002,369.65
2003,371.87
2004,374.22
2005,376.01
2006,378.16
2007,380.2
2008,382.07
2009,383.99
2010,385.74
2011,388.0
2012,389.85
2013,392.02
2014,394.78
2015,396.89
2016,399.19
2017,402.43
2018,404.54
2019,406.9
2020,409.53
2021,411.99
